,slp,intp,pvalue,pvalue_d,n,chg,chg_r,init,last
11-24,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
11-25,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
11-26,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
11-27,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
11-28,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
11-29,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
11-30,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-01,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-02,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-03,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-04,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-05,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-06,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-07,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-08,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-09,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-10,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-11,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-12,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-13,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-14,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-15,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-16,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-17,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-18,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-19,0.0,0.0,1.0,0.0,43.0,0.0,,0.0,0.0
12-20,0.0,0.0,0.17937963016969816,0.0,43.0,0.0,0.0,0.0,0.0
12-21,0.0,0.0,0.17937963016969882,0.0,43.0,0.0,0.0,0.0,0.0
12-22,0.0,0.0,0.17937963016969816,0.0,43.0,0.0,0.0,0.0,0.0
12-23,0.0,0.0,0.17937963016969904,0.0,43.0,0.0,0.0,0.0,0.0
12-24,0.0,0.0,0.17937963016969816,0.0,43.0,0.0,0.0,0.0,0.0
12-25,0.0,0.0,0.17937963016969882,0.0,43.0,0.0,0.0,0.0,0.0
12-26,0.0,0.0,0.1793796301696977,0.0,43.0,0.0,0.0,0.0,0.0
12-27,0.0,0.0,0.17937963016969882,0.0,43.0,0.0,0.0,0.0,0.0
12-28,0.0,0.0,0.17937963016969904,0.0,43.0,0.0,0.0,0.0,0.0
12-29,0.0,0.0,0.17937963016969816,0.0,43.0,0.0,0.0,0.0,0.0
12-30,0.0,0.0,0.06379196903808304,0.0,43.0,0.0,0.0,0.0,0.0
12-31,0.0,0.0,0.06379196903808326,0.0,43.0,0.0,0.0,0.0,0.0
